Source,Target,Type,Id,Label,Weight
79,92,Undirected,256,,1.0
79,96,Undirected,260,,1.0
79,101,Undirected,269,,1.0
79,103,Undirected,278,,1.0
79,110,Undirected,289,,1.0
79,113,Undirected,292,,1.0
85,101,Undirected,272,,1.0
85,110,Undirected,287,,1.0
87,101,Undirected,274,,1.0
82,96,Undirected,261,,1.0
82,97,Undirected,264,,1.0
82,101,Undirected,270,,1.0
82,103,Undirected,279,,1.0
82,108,Undirected,285,,1.0
82,110,Undirected,288,,1.0
82,113,Undirected,293,,1.0
80,93,Undirected,257,,1.0
84,99,Undirected,266,,1.0
84,114,Undirected,295,,1.0
81,95,Undirected,259,,1.0
81,107,Undirected,284,,1.0
81,109,Undirected,286,,1.0
78,91,Undirected,255,,1.0
78,94,Undirected,258,,1.0
78,105,Undirected,282,,1.0
78,111,Undirected,290,,1.0
78,116,Undirected,297,,1.0
89,101,Undirected,276,,1.0
88,101,Undirected,275,,1.0
90,116,Undirected,298,,1.0
83,96,Undirected,262,,1.0
83,97,Undirected,263,,1.0
83,98,Undirected,265,,1.0
83,100,Undirected,267,,1.0
83,101,Undirected,271,,1.0
83,102,Undirected,277,,1.0
83,103,Undirected,280,,1.0
83,104,Undirected,281,,1.0
83,106,Undirected,283,,1.0
83,112,Undirected,291,,1.0
83,113,Undirected,294,,1.0
83,115,Undirected,296,,1.0
117,78,Undirected,305,,1.0
117,79,Undirected,326,,1.0
117,80,Undirected,327,,1.0
117,81,Undirected,328,,1.0
117,82,Undirected,329,,1.0
117,83,Undirected,330,,1.0
117,84,Undirected,331,,1.0
117,85,Undirected,332,,1.0
117,86,Undirected,333,,1.0
117,87,Undirected,334,,1.0
117,88,Undirected,335,,1.0
117,89,Undirected,336,,1.0
117,90,Undirected,337,,1.0
86,101,Undirected,273,,1.0
