Id,Label
115,USANPN
112,TERN
106,ONEShare
111,SEAD
108,PISCO
104,LTER_EUROPE
109,RGD
105,NMEPSCOR
113,TFRI
103,LTER
102,KUBI
114,US_MPC
107,ORNLDAAC
94,EDACGSTORE
79,Ecological_Metadata_Language_version_2.1.0
92,CLOEBIRD
85,Ecological_Metadata_Language_version_2.0.0
110,SANPARKS
87,Ecological_Metadata_Language_Dataset_module_version_2.0.0beta4
82,Ecological_Metadata_Language_version_2.0.1
96,ESA
100,IOE
80,Dryad_Metadata_Application_Profile_Version_3.1
93,DRYAD
84,DataONE_Dublin_Core_Extended_v1.0
99,IARC
81,Oak_Ridge_National_Lab_Mercury_Metadata_version_1.0
95,EDORA
78,Content_Standard_for_Digital_Geospatial_Metadata_version_001-1998
91,CDL
89,Ecological_Metadata_Language_Physical_module_version_2.0.0beta6
101,KNB
98,GOA
88,Ecological_Metadata_Language_Dataset_module_version_2.0.0beta6
90,Content_Standard_for_Digital_Geospatial_Metadata_Biological_Data_Profile_version_001.1-1999
116,USGSCSAS
83,Ecological_Metadata_Language_version_2.1.1
97,GLEON
117,DataOne
86,Ecological_Metadata_Language_Access_module_version_2.0.0beta6
